Style Listing Stock,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASHWOOD,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Style,,,,Category,,,,Department,,,,Season,,,,,Description,,,,,,,,,,AVG Cost,AVG Retail
007,,,,GLOVES,,,,LADIES,,,,NO SEASON,,,,,ladies gloves,,,,,,,,,,0.00,29.99
,,,S,,M,L,Total,,,,,,,,,,,,,,,,,,,,,
,BLK/BLUE (28758),,,,,0,0,,,,,,,,,,,,,,,,,,,,,
,,Fen,0,,0,0,0,,,,,,,,,,,,,,,,,,,,,
,,ITOH,0,,0,0,0,,,,,,,,,,,,,,,,,,,,,
,,SOL,0,,0,0,0,,,,,,,,,,,,,,,,,,,,,
,,WEB,1,,0,0,1,,,,,,,,,,,,,,,,,,,,,
,BLK/PURPLE (28762),,0,,0,0,0,,,,,,,,,,,,,,,,,,,,,
,,Fen,0,,0,0,0,,,,,,,,,,,,,,,,,,,,,
,,ITOH,0,,0,0,0,,,,,,,,,,,,,,,,,,,,,
,,WEB,1,,0,0,1,,,,,,,,,,,,,,,,,,,,,
,BLK/TAUPE (28754),Fen,0,,0,0,0,,,,,,,,,,,,,,,,,,,,,
,,ITOH,0,,0,0,0,,,,,,,,,,,,,,,,,,,,,
,,WEB,0,,0,1,1,,,,,,,,,,,,,,,,,,,,,
,Total,,2,,0,1,3,,,,,,,,,,,,,,,,,,,,,
Style,,,,Category,,,,Department,,,,Season,,,,,Description,,,,,,,,,,AVG Cost,AVG Retail
010B,,,,HATS,,,,LEATHER CAP,,,,NO SEASON,,,,,baseball cap fleece,,,,,,,,,,0.00,89.99
,,,M,,L,XL,2XL,,Total,,,,,,,,,,,,,,,,,,,
,BLACK (35670),Fen,0,,0,0,0,,0,,,,,,,,,,,,,,,,,,,
,,ITOH,0,,0,0,0,,0,,,,,,,,,,,,,,,,,,,
,,WEB,2,,2,3,1,,8,,,,,,,,,,,,,,,,,,,
,BROWN (35685),Fen,0,,0,0,0,,0,,,,,,,,,,,,,,,,,,,
,,ITOH,0,,0,0,0,,0,,,,,,,,,,,,,,,,,,,
,,WEB,1,,1,0,0,,2,,,,,,,,,,,,,,,,,,,
,Total,,3,,3,3,1,,10,,,,,,,,,,,,,,,,,,,
Style,,,,Category,,,,Department,,,,Season,,,,,Description,,,,,,,,,,AVG Cost,AVG Retail
010B-S,,,,HATS,,,,S SKIN,,,,NO SEASON,,,,,baseball s/skin cap,,,,,,,,,,0.00,99.99
,,,M,,L,XL,2XL,,Total,,,,,,,,,,,,,,,,,,,
,BLACK (35730),Fen,0,,0,0,0,,0,,,,,,,,,,,,,,,,,,,
,,ITOH,0,,0,0,0,,0,,,,,,,,,,,,,,,,,,,
,,WEB,1,,3,3,0,,7,,,,,,,,,,,,,,,,,,,
,BROWN (35745),Fen,,,0,0,0,,0,,,,,,,,,,,,,,,,,,,
,,ITOH,,,0,0,0,,0,,,,,,,,,,,,,,,,,,,
,,WEB,,,1,1,0,,2,,,,,,,,,,,,,,,,,,,
