Date created,Offer SKU,Type,Quantity,Amount
01/01/2025 - 00:04:37,0005203800,Order amount,1,27.19
01/01/2025 - 00:11:24,0005254604,Order amount,1,198.74
01/01/2025 - 00:12:20,0001606602,Order amount,1,119.69
01/01/2025 - 00:14:37,0005384600,Order amount,1,29.99
01/01/2025 - 00:14:37,0005292600,Order amount,1,31.19
01/01/2025 - 00:14:37,0005310300,Order amount,1,26.99
01/01/2025 - 01:35:19,0005326700,Order amount,1,39.99
01/01/2025 - 01:41:00,0001440906,Order amount,1,98.44
01/01/2025 - 02:23:49,0004932900,Order amount,1,26.99
01/01/2025 - 02:29:16,0005292700,Order amount,1,31.19
01/01/2025 - 04:10:50,0004284700,Order amount,1,17.27
01/01/2025 - 04:37:19,0005385000,Order amount,1,29.99
01/01/2025 - 05:04:22,0005204500,Order amount,1,27.19
01/01/2025 - 05:55:04,0005384800,Order amount,1,29.99
01/01/2025 - 06:15:35,0005384600,Order amount,1,29.99
01/01/2025 - 06:35:29,0005308700,Order amount,1,39.99
01/01/2025 - 07:36:14,0005049100,Order amount,1,35.96
01/01/2025 - 07:39:14,0005292600,Order amount,1,31.19
01/01/2025 - 07:54:03,0005191305,Order amount,1,84.84
01/01/2025 - 07:54:03,0001437305,Order amount,1,129.04
01/01/2025 - 08:03:26,0004931100,Order amount,1,39.99
01/01/2025 - 08:14:22,0005384600,Order amount,1,29.99
01/01/2025 - 08:33:05,0005204400,Order amount,1,27.19
01/01/2025 - 08:42:20,0005176405,Order amount,1,148.59
01/01/2025 - 09:00:29,0005194906,Order amount,1,89.99
01/01/2025 - 09:09:54,0004931100,Order amount,1,39.99
01/01/2025 - 09:17:48,0005294500,Order amount,1,52.79
01/01/2025 - 09:34:46,0005297200,Order amount,1,31.19
01/01/2025 - 09:46:54,0004791200,Order amount,1,28.79
01/01/2025 - 09:48:44,0005202600,Order amount,1,27.19
01/01/2025 - 09:53:29,0001604202,Order amount,1,107.72
01/01/2025 - 10:02:56,0004558400,Order amount,1,39.59
01/01/2025 - 10:05:01,0005308700,Order amount,1,39.99
01/01/2025 - 10:09:25,0005310300,Order amount,1,26.99
01/01/2025 - 10:11:29,0005384600,Order amount,1,29.99
01/01/2025 - 10:16:04,0003888401,Order amount,1,123.05
01/01/2025 - 10:17:53,0004378300,Order amount,1,62.39
01/01/2025 - 10:20:03,0005383700,Order amount,1,29.99
01/01/2025 - 10:32:02,0001838205,Order amount,1,83.99
01/01/2025 - 10:34:55,0005203500,Order amount,1,27.19
01/01/2025 - 10:36:15,0004933000,Order amount,1,26.99
01/01/2025 - 10:37:28,0005310300,Order amount,1,26.99
01/01/2025 - 10:41:11,0001322200,Order amount,1,38.39
01/01/2025 - 10:48:42,0004413300,Order amount,1,75.99
01/01/2025 - 11:00:19,0005292100,Order amount,1,35.99
01/01/2025 - 11:02:44,0005292500,Order amount,1,31.19
01/01/2025 - 11:02:44,0004286100,Order amount,1,24.79
01/01/2025 - 11:08:05,0005204400,Order amount,1,27.19
01/01/2025 - 11:11:16,0005310300,Order amount,1,26.99
01/01/2025 - 11:15:38,0005194902,Order amount,1,99.99
01/01/2025 - 11:16:18,0005194905,Order amount,1,99.99
01/01/2025 - 11:25:11,0005383300,Order amount,1,39.99
01/01/2025 - 11:37:26,0004928900,Order amount,1,57.59
01/01/2025 - 11:39:32,0005288800,Order amount,1,11.99
01/01/2025 - 11:41:28,0004786500,Order amount,1,27.19
01/01/2025 - 11:42:44,0005384600,Order amount,1,29.99
01/01/2025 - 11:42:44,0005384800,Order amount,1,29.99
01/01/2025 - 11:44:02,0005202700,Order amount,1,27.19
01/01/2025 - 11:49:20,0005203600,Order amount,1,27.19
01/01/2025 - 11:49:20,0004525200,Order amount,1,27.19
01/01/2025 - 11:55:30,0004471000,Order amount,1,93.59
01/01/2025 - 12:00:14,0004271600,Order amount,1,35.99
01/01/2025 - 12:04:24,0005052200,Order amount,1,35.99
01/01/2025 - 12:13:50,0004673700,Order amount,1,19.19
01/01/2025 - 12:18:23,0005384700,Order amount,1,29.99
01/01/2025 - 12:22:19,0005384800,Order amount,1,29.99
01/01/2025 - 12:25:21,0004888107,Order amount,1,130.74
01/01/2025 - 12:29:09,0001863404,Order amount,1,89.60
01/01/2025 - 12:32:13,0005310300,Order amount,1,26.99
01/01/2025 - 12:34:09,0005269500,Order amount,1,49.99
01/01/2025 - 12:34:09,0004930200,Order amount,1,35.99
01/01/2025 - 12:36:15,0005355503,Order amount,1,139.20
01/01/2025 - 12:46:09,0005292100,Order amount,1,35.99
01/01/2025 - 12:46:09,0005269900,Order amount,1,49.99
01/01/2025 - 12:46:09,0005383300,Order amount,1,39.99
01/01/2025 - 12:48:03,0004804100,Order amount,1,39.99
01/01/2025 - 12:53:59,0005384600,Order amount,1,29.99
01/01/2025 - 12:56:11,0005293100,Order amount,1,31.19
01/01/2025 - 12:59:09,0005385000,Order amount,1,29.99
01/01/2025 - 13:05:01,0005194906,Order amount,1,99.99
